"V1","V5","V6","V12","V13","V14"
"m.4996.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.23574.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.30369.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.9188.p1","PF00292","'Paired box' domain","IPR001523","Paired domain","GO:0003677|GO:0006355"
"m.7646.p1","PF05044","Homeo-prospero domain","IPR023082","Homeo-prospero domain","GO:0003677"
"m.18042.p1","PF00853","Runt domain","IPR013524","Runt domain","GO:0003677|GO:0003700|GO:0006355"
"m.41070.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.2070.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.6227.p1","PF00010","Helix-loop-helix DNA-binding domain","IPR011598","Myc-type, basic helix-loop-helix (bHLH) domain","GO:0046983"
"m.35734.p1","PF08711","TFIIS helical bundle-like domain","IPR017923","Transcription factor IIS, N-terminal","GO:0005634"
"m.2027.p1","PF00808","Histone-like transcription factor (CBF/NF-Y) and archaeal histone","IPR003958","Transcription factor CBF/NF-Y/archaeal histone domain","-"
"m.2777.p1","SSF47459","HLH, helix-loop-helix DNA-binding domain","IPR036638","Helix-loop-helix DNA-binding domain superfamily","GO:0046983"
"m.38947.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.682.p1","SSF47459","HLH, helix-loop-helix DNA-binding domain","IPR036638","Helix-loop-helix DNA-binding domain superfamily","GO:0046983"
"m.36105.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.5652.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.14508.p1","SSF55021","ACT-like","-","-",""
"m.4724.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.25333.p1","PF00751","DM DNA binding domain","IPR001275","DM DNA-binding domain","GO:0006355|GO:0043565"
"m.2913.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.36962.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.37103.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.2403.p1","PF00808","Histone-like transcription factor (CBF/NF-Y) and archaeal histone","IPR003958","Transcription factor CBF/NF-Y/archaeal histone domain","-"
"m.38817.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.4543.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.189.p1","PF01754","A20-like zinc finger","IPR002653","Zinc finger, A20-type","GO:0003677|GO:0008270"
"m.3411.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.38136.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.20126.p1","PF02892","BED zinc finger","IPR003656","Zinc finger, BED-type","GO:0003677"
"m.21490.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.24688.p1","PF00250","Forkhead domain","IPR001766","Fork head domain","GO:0003700|GO:0006355|GO:0043565"
"m.6816.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.1370.p1","PF00010","Helix-loop-helix DNA-binding domain","IPR011598","Myc-type, basic helix-loop-helix (bHLH) domain","GO:0046983"
"m.6169.p1","SSF46955","Putative DNA-binding domain","IPR009061","Putative DNA-binding domain superfamily","-"
"m.12385.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.32196.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.13107.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.40843.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.19966.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.10947.p1","SSF56366","SMAD MH1 domain","IPR036578","SMAD MH1 domain superfamily","GO:0007179"
"m.16543.p1","PF06839","GRF zinc finger","IPR010666","Zinc finger, GRF-type","GO:0008270"
"m.17349.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.8830.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.13239.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.11854.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.9961.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.14733.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.23580.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.1513.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.4890.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.15953.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.20983.p1","PF01167","Tub family","IPR000007","Tubby, C-terminal","-"
"m.41611.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.14990.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.19194.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.15917.p1","PF00319","SRF-type transcription factor (DNA-binding and dimerisation domain)","IPR002100","Transcription factor, MADS-box","GO:0003677|GO:0046983"
"m.31165.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.26725.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.38814.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.34865.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.20656.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.2250.p1","PF00010","Helix-loop-helix DNA-binding domain","IPR011598","Myc-type, basic helix-loop-helix (bHLH) domain","GO:0046983"
"m.25097.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.35590.p1","PF02791","DDT domain","IPR018501","DDT domain","-"
"m.15802.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.7647.p1","PF03299","Transcription factor AP-2","IPR013854","Transcription factor AP-2, C-terminal","-"
"m.7214.p1","PF03615","GCM motif protein","IPR003902","Transcription regulator GCM domain","GO:0003677|GO:0006355"
"m.1879.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.4522.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.25459.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.6260.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.41454.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.41126.p1","PF02892","BED zinc finger","IPR003656","Zinc finger, BED-type","GO:0003677"
"m.9023.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.6757.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.7856.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.13289.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.15661.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.23140.p1","PF00605","Interferon regulatory factor transcription factor","IPR001346","Interferon regulatory factor DNA-binding domain","GO:0000976"
"m.21934.p1","PF08711","TFIIS helical bundle-like domain","IPR017923","Transcription factor IIS, N-terminal","GO:0005634"
"m.37968.p1","PF02791","DDT domain","IPR018501","DDT domain","-"
"m.12389.p1","PF00250","Forkhead domain","IPR001766","Fork head domain","GO:0003700|GO:0006355|GO:0043565"
"m.36469.p1","PF02928","C5HC2 zinc finger","IPR004198","Zinc finger, C5HC2-type","-"
"m.9233.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.40681.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.1744.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.4474.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.8160.p1","PF00170","bZIP transcription factor","IPR004827","Basic-leucine zipper domain","GO:0003700|GO:0006355"
"m.37927.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.34569.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.4389.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.38620.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.12372.p1","PF00010","Helix-loop-helix DNA-binding domain","IPR011598","Myc-type, basic helix-loop-helix (bHLH) domain","GO:0046983"
"m.28694.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.5366.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.15664.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.33213.p1","PF00751","DM DNA binding domain","IPR001275","DM DNA-binding domain","GO:0006355|GO:0043565"
"m.4135.p2","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.9243.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.5102.p1","PF10545","Alcohol dehydrogenase transcription factor Myb/SANT-like","IPR006578","MADF domain","-"
"m.6261.p2","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.20091.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.23202.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.10135.p1","SSF49417","p53-like transcription factors","IPR008967","p53-like transcription factor, DNA-binding","GO:0003700|GO:0006355"
"m.3437.p1","SSF47459","HLH, helix-loop-helix DNA-binding domain","IPR036638","Helix-loop-helix DNA-binding domain superfamily","GO:0046983"
"m.15819.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.4866.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.1314.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.40678.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.17878.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.39550.p1","PF02892","BED zinc finger","IPR003656","Zinc finger, BED-type","GO:0003677"
"m.22109.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.15552.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.6019.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.22181.p1","PF00292","'Paired box' domain","IPR001523","Paired domain","GO:0003677|GO:0006355"
"m.7857.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.40352.p2","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.26695.p1","SSF47676","Conserved domain common to transcription factors TFIIS, elongin A, CRSP70","IPR035441","TFIIS/LEDGF domain superfamily","-"
"m.13085.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.2797.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.2661.p1","SSF82927","Cysteine-rich DNA binding domain, (DM domain)","IPR036407","DM DNA-binding domain superfamily","GO:0006355|GO:0043565"
"m.7832.p1","PF00870","P53 DNA-binding domain","IPR011615","p53, DNA-binding domain","GO:0000976"
"m.6991.p1","PF00157","Pou domain - N-terminal to homeobox domain","IPR000327","POU-specific domain","GO:0003700|GO:0006355"
"m.8579.p1","SSF56366","SMAD MH1 domain","IPR036578","SMAD MH1 domain superfamily","GO:0007179"
"m.14452.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.30567.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.7853.p1","SSF47459","HLH, helix-loop-helix DNA-binding domain","IPR036638","Helix-loop-helix DNA-binding domain superfamily","GO:0046983"
"m.42669.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.15186.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.10250.p1","PF00250","Forkhead domain","IPR001766","Fork head domain","GO:0003700|GO:0006355|GO:0043565"
"m.2919.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.1730.p1","PF00178","Ets-domain","IPR000418","Ets domain","GO:0003700|GO:0006355|GO:0043565"
"m.7623.p1","PF18307","Transcription factor Tfb2 (p52) C-terminal domain","IPR040662","Transcription factor Tfb2, C-terminal domain","-"
"m.18.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.15524.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.21623.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.6699.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.26740.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.6474.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.21840.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.13160.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.22265.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.7874.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.21529.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.11534.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.2224.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.28761.p1","PF02892","BED zinc finger","IPR003656","Zinc finger, BED-type","GO:0003677"
"m.43692.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.6465.p1","PF15294","Leucine zipper","IPR026157","Leucine zipper transcription factor-like protein 1","-"
"m.18040.p1","SSF49417","p53-like transcription factors","IPR008967","p53-like transcription factor, DNA-binding","GO:0003700|GO:0006355"
"m.24059.p1","PF12657","Transcription factor IIIC subunit delta N-term","IPR024761","Transcription factor IIIC, 90kDa subunit, N-terminal","-"
"m.5326.p1","PF02135","TAZ zinc finger","IPR000197","Zinc finger, TAZ-type","-"
"m.15139.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.2767.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.13169.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.666.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.9554.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.31518.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.23581.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.38305.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.6687.p1","PF00105","Zinc finger, C4 type (two domains)","IPR001628","Zinc finger, nuclear hormone receptor-type","GO:0003700|GO:0006355|GO:0008270|GO:0043565"
"m.3356.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.10217.p1","PF00808","Histone-like transcription factor (CBF/NF-Y) and archaeal histone","IPR003958","Transcription factor CBF/NF-Y/archaeal histone domain","-"
"m.2233.p1","PF00808","Histone-like transcription factor (CBF/NF-Y) and archaeal histone","IPR003958","Transcription factor CBF/NF-Y/archaeal histone domain","-"
"m.14469.p1","PF02928","C5HC2 zinc finger","IPR004198","Zinc finger, C5HC2-type","-"
"m.36280.p3","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.8722.p1","PF00170","bZIP transcription factor","IPR004827","Basic-leucine zipper domain","GO:0003700|GO:0006355"
"m.598.p1","PF00010","Helix-loop-helix DNA-binding domain","IPR011598","Myc-type, basic helix-loop-helix (bHLH) domain","GO:0046983"
"m.17521.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.4022.p1","PF00320","GATA zinc finger","IPR000679","Zinc finger, GATA-type","GO:0006355|GO:0008270|GO:0043565"
"m.9570.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.11469.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.43620.p1","SSF47459","HLH, helix-loop-helix DNA-binding domain","IPR036638","Helix-loop-helix DNA-binding domain superfamily","GO:0046983"
"m.3884.p1","PF00352","Transcription factor TFIID (or TATA-binding protein, TBP)","IPR000814","TATA-box binding protein","GO:0003677|GO:0006352"
"m.14941.p1","SSF54171","DNA-binding domain","IPR016177","DNA-binding domain superfamily","GO:0003677"
"m.17129.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.9027.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.36301.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.2684.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.1951.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.36475.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.40316.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.4324.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.37985.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.6825.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.4435.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.30377.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.572.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.25858.p1","PF02891","MIZ/SP-RING zinc finger","IPR004181","Zinc finger, MIZ-type","GO:0008270"
"m.35828.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.26639.p1","PF00170","bZIP transcription factor","IPR004827","Basic-leucine zipper domain","GO:0003700|GO:0006355"
"m.32113.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.25749.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.6345.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.37402.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.18179.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.23204.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.1949.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.21741.p1","PF02257","RFX DNA-binding domain","IPR003150","DNA-binding RFX-type winged-helix domain","GO:0003677|GO:0006355"
"m.38278.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.2402.p1","PF00808","Histone-like transcription factor (CBF/NF-Y) and archaeal histone","IPR003958","Transcription factor CBF/NF-Y/archaeal histone domain","-"
"m.4223.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.34291.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.10966.p2","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.8143.p1","PF01285","TEA/ATTS domain","IPR000818","TEA/ATTS domain","GO:0003700|GO:0006355"
"m.11969.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.5144.p1","PF00352","Transcription factor TFIID (or TATA-binding protein, TBP)","IPR000814","TATA-box binding protein","GO:0003677|GO:0006352"
"m.10096.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.10506.p1","PF00808","Histone-like transcription factor (CBF/NF-Y) and archaeal histone","IPR003958","Transcription factor CBF/NF-Y/archaeal histone domain","-"
"m.1148.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.4733.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.18966.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.42816.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.26726.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.3115.p1","SSF47459","HLH, helix-loop-helix DNA-binding domain","IPR036638","Helix-loop-helix DNA-binding domain superfamily","GO:0046983"
"m.10798.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.2438.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.27244.p1","SSF54171","DNA-binding domain","IPR016177","DNA-binding domain superfamily","GO:0003677"
"m.429.p1","SSF46955","Putative DNA-binding domain","IPR009061","Putative DNA-binding domain superfamily","-"
"m.34290.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.5851.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.5596.p1","SSF47413","lambda repressor-like DNA-binding domains","IPR010982","Lambda repressor-like, DNA-binding domain superfamily","GO:0003677"
"m.6762.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.5357.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.12543.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.2980.p1","PF00170","bZIP transcription factor","IPR004827","Basic-leucine zipper domain","GO:0003700|GO:0006355"
"m.30374.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.18433.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.7981.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.7772.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.17251.p1","SSF49417","p53-like transcription factors","IPR008967","p53-like transcription factor, DNA-binding","GO:0003700|GO:0006355"
"m.15885.p1","SSF49417","p53-like transcription factors","IPR008967","p53-like transcription factor, DNA-binding","GO:0003700|GO:0006355"
"m.23151.p1","PF00605","Interferon regulatory factor transcription factor","IPR001346","Interferon regulatory factor DNA-binding domain","GO:0000976"
"m.6716.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.316.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.12674.p1","PF00250","Forkhead domain","IPR001766","Fork head domain","GO:0003700|GO:0006355|GO:0043565"
"m.11656.p1","SSF54518","Tubby C-terminal domain-like","IPR025659","Tubby-like, C-terminal","-"
"m.3199.p1","PF00250","Forkhead domain","IPR001766","Fork head domain","GO:0003700|GO:0006355|GO:0043565"
"m.1479.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.380.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.2213.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.28175.p1","PF02892","BED zinc finger","IPR003656","Zinc finger, BED-type","GO:0003677"
"m.12000.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.17170.p1","PF02891","MIZ/SP-RING zinc finger","IPR004181","Zinc finger, MIZ-type","GO:0008270"
"m.5920.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.6264.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.24967.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.9585.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.5498.p1","PF00105","Zinc finger, C4 type (two domains)","IPR001628","Zinc finger, nuclear hormone receptor-type","GO:0003700|GO:0006355|GO:0008270|GO:0043565"
"m.35366.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.6473.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.3920.p1","PF07716","Basic region leucine zipper","IPR004827","Basic-leucine zipper domain","GO:0003700|GO:0006355"
"m.41609.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.11972.p1","PF01096","Transcription factor S-II (TFIIS)","IPR001222","Zinc finger, TFIIS-type","GO:0003676|GO:0006351|GO:0008270"
"m.21351.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.1742.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.43510.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.22082.p1","SSF56366","SMAD MH1 domain","IPR036578","SMAD MH1 domain superfamily","GO:0007179"
"m.25158.p1","SSF54518","Tubby C-terminal domain-like","IPR025659","Tubby-like, C-terminal","-"
